,cause,effect,min_p_value,optimal_lag,significant
0,ADAUSDT,BNBUSDT,1.044430557587209e-15,2,True
1,BNBUSDT,ADAUSDT,4.825190002932097e-54,1,True
2,ADAUSDT,BTCUSDT,4.4818362820023353e-17,10,True
3,BTCUSDT,ADAUSDT,2.2431020790476296e-18,10,True
4,ADAUSDT,DOGEUSDT,1.2297109517132481e-17,10,True
5,DOGEUSDT,ADAUSDT,2.0756139555247337e-51,7,True
6,ADAUSDT,ETHUSDT,5.601424834268771e-20,9,True
7,ETHUSDT,ADAUSDT,1.972266489217144e-25,9,True
8,ADAUSDT,XRPUSDT,1.470301477696677e-37,10,True
9,XRPUSDT,ADAUSDT,1.1326735462654043e-86,10,True
10,BNBUSDT,BTCUSDT,6.461247715106637e-29,1,True
11,BTCUSDT,BNBUSDT,1.2177577047227988e-14,10,True
12,BNBUSDT,DOGEUSDT,4.1043198080871094e-30,6,True
13,DOGEUSDT,BNBUSDT,4.485613686951257e-35,3,True
14,BNBUSDT,ETHUSDT,9.826969362013024e-22,8,True
15,ETHUSDT,BNBUSDT,1.94127721105551e-12,5,True
16,BNBUSDT,XRPUSDT,1.9565763710530015e-42,5,True
17,XRPUSDT,BNBUSDT,8.102505933265435e-71,9,True
18,BTCUSDT,DOGEUSDT,2.8739622134084634e-22,8,True
19,DOGEUSDT,BTCUSDT,1.0494557008223797e-62,8,True
20,BTCUSDT,ETHUSDT,3.9897679443925556e-11,10,True
21,ETHUSDT,BTCUSDT,3.540732760896479e-19,10,True
22,BTCUSDT,XRPUSDT,5.452492945536372e-44,8,True
23,XRPUSDT,BTCUSDT,1.1630564395456904e-89,9,True
24,DOGEUSDT,ETHUSDT,2.8016088850969254e-40,8,True
25,ETHUSDT,DOGEUSDT,1.848850587027108e-29,9,True
26,DOGEUSDT,XRPUSDT,7.397400962482206e-60,10,True
27,XRPUSDT,DOGEUSDT,3.118279700190205e-65,9,True
28,ETHUSDT,XRPUSDT,3.5370998291148103e-45,10,True
29,XRPUSDT,ETHUSDT,2.5214880707859937e-71,10,True
