,series1,series2,lb_statistic,lb_pvalue,significant
0,ADAUSDT,BNBUSDT,14950.847821385745,0.0,True
1,ADAUSDT,BTCUSDT,4577.368677149081,0.0,True
2,ADAUSDT,DOGEUSDT,28505.03736393124,0.0,True
3,ADAUSDT,ETHUSDT,13796.775981071678,0.0,True
4,ADAUSDT,XRPUSDT,20644.863277311444,0.0,True
5,BNBUSDT,BTCUSDT,7169.747404320844,0.0,True
6,BNBUSDT,DOGEUSDT,20398.650679495455,0.0,True
7,BNBUSDT,ETHUSDT,12124.939167717872,0.0,True
8,BNBUSDT,XRPUSDT,17099.56701602044,0.0,True
9,BTCUSDT,DOGEUSDT,3458.8480165425863,0.0034325395958574043,True
10,BTCUSDT,ETHUSDT,4435.587293289267,0.0,True
11,BTCUSDT,XRPUSDT,1204.5022934555568,1.268167868815651e-53,True
12,DOGEUSDT,ETHUSDT,13268.220372602484,0.0,True
13,DOGEUSDT,XRPUSDT,21619.550342391125,0.0,True
14,ETHUSDT,XRPUSDT,9510.847061537645,0.0,True
