,Pair,Avg p-value,Min p-value,Max p-value,Significant Windows (%),Total Windows
0,ADAUSDT->BNBUSDT,0.4046326238792412,1.1102230246251565e-16,0.9989838137836302,13.40909090909091,14080
1,BNBUSDT->ADAUSDT,0.43433112509468985,1.1102230246251565e-16,0.997727208082435,11.598011363636363,14080
2,ADAUSDT->BTCUSDT,0.4118627962179028,1.1102230246251565e-16,0.9981949037027915,15.20596590909091,14080
3,BTCUSDT->ADAUSDT,0.43325388552520305,1.2529502563252137e-06,0.9997306064966758,9.438920454545455,14080
4,ADAUSDT->DOGEUSDT,0.3985449728925748,1.1102230246251565e-16,0.9994188192952307,11.335227272727273,14080
5,DOGEUSDT->ADAUSDT,0.39653813330228166,1.1102230246251565e-16,0.9989479195718715,12.009943181818182,14080
6,ADAUSDT->ETHUSDT,0.42988448083438247,1.1102230246251565e-16,0.9999903234206395,11.157670454545453,14080
7,ETHUSDT->ADAUSDT,0.36272543710874555,1.1102230246251565e-16,0.9994878402065763,15.688920454545455,14080
8,ADAUSDT->XRPUSDT,0.41627983602557916,1.1102230246251565e-16,0.9932058434325022,14.666193181818182,14080
9,XRPUSDT->ADAUSDT,0.4002035667787376,1.1102230246251565e-16,0.9994406439372239,16.136363636363637,14080
10,BNBUSDT->BTCUSDT,0.40030826511918904,1.7483792191796965e-12,0.9979460241474538,15.553977272727273,14080
11,BTCUSDT->BNBUSDT,0.4216668527269453,4.494020897416462e-06,0.9993457500666425,13.274147727272728,14080
12,BNBUSDT->DOGEUSDT,0.39925438955884995,1.1102230246251565e-16,0.9988473236710803,12.414772727272727,14080
13,DOGEUSDT->BNBUSDT,0.4092148235356866,9.359857333635091e-11,0.9988285201708379,10.539772727272727,14080
14,BNBUSDT->ETHUSDT,0.4728899809116244,4.806965381298767e-09,0.9995333704582814,11.640625,14080
15,ETHUSDT->BNBUSDT,0.3752684586139515,1.1102230246251565e-16,0.9955136014160776,13.920454545454545,14080
16,BNBUSDT->XRPUSDT,0.3844196823089358,1.1102230246251565e-16,0.9989925268492883,17.180397727272727,14080
17,XRPUSDT->BNBUSDT,0.43343184632136866,1.1102230246251565e-16,0.9999345767160782,13.821022727272728,14080
18,BTCUSDT->DOGEUSDT,0.3938600523888916,7.236721577541516e-08,0.9986068867596719,15.276988636363637,14080
19,DOGEUSDT->BTCUSDT,0.4046102031530444,5.445183415275778e-09,0.99751062763335,11.178977272727272,14080
20,BTCUSDT->ETHUSDT,0.4622892025633667,5.0875078594359024e-06,0.9981920791397877,10.532670454545455,14080
21,ETHUSDT->BTCUSDT,0.36889500047905543,1.5004475439894804e-10,0.9997551984327739,19.467329545454547,14080
22,BTCUSDT->XRPUSDT,0.45272234510490966,1.8040903193572433e-07,0.9996888638085248,11.633522727272727,14080
23,XRPUSDT->BTCUSDT,0.4311832105258357,2.1505019986989282e-13,0.9995394007284162,13.167613636363637,14080
24,DOGEUSDT->ETHUSDT,0.44833980775374416,8.114413030391177e-09,0.9992388424677837,9.389204545454545,14080
25,ETHUSDT->DOGEUSDT,0.43149751168831835,1.1102230246251565e-16,0.9987102592810547,13.387784090909092,14080
26,DOGEUSDT->XRPUSDT,0.37397214427913955,1.1102230246251565e-16,0.9984334091262136,16.93181818181818,14080
27,XRPUSDT->DOGEUSDT,0.40140024932713647,1.1102230246251565e-16,0.9950862380832366,11.477272727272728,14080
28,ETHUSDT->XRPUSDT,0.41259052661815265,3.117739399982611e-10,0.9971941290787024,15.845170454545453,14080
29,XRPUSDT->ETHUSDT,0.4518992451948652,5.148632040707923e-07,0.9998098921887051,9.992897727272727,14080
